jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
オレッス,,candidate,时空的欠片,pm-shard-baseline,1067,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
オーケ,,candidate,时空的欠片,pm-shard-baseline,1068,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
オーバ,,candidate,时空的欠片,pm-shard-baseline,1069,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カギ,,candidate,时空的欠片,pm-shard-baseline,1070,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カタブツ,,candidate,时空的欠片,pm-shard-baseline,1071,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カッチョ,,candidate,时空的欠片,pm-shard-baseline,1072,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カニバル,,candidate,时空的欠片,pm-shard-baseline,1073,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カムヒア,,candidate,时空的欠片,pm-shard-baseline,1074,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カラ,,candidate,时空的欠片,pm-shard-baseline,1075,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
カリキュラム,,candidate,时空的欠片,pm-shard-baseline,1076,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガオガオ,,candidate,时空的欠片,pm-shard-baseline,1077,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガオッ,,candidate,时空的欠片,pm-shard-baseline,1078,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガタガタ,,candidate,时空的欠片,pm-shard-baseline,1079,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガッチリ,,candidate,时空的欠片,pm-shard-baseline,1080,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガラ,,candidate,时空的欠片,pm-shard-baseline,1081,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ガン,,candidate,时空的欠片,pm-shard-baseline,1082,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キッパリ,,candidate,时空的欠片,pm-shard-baseline,1083,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キッパリスッパリ,,candidate,时空的欠片,pm-shard-baseline,1084,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キバヤシ,,candidate,时空的欠片,pm-shard-baseline,1085,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キメ,,candidate,时空的欠片,pm-shard-baseline,1086,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キャッチ,,candidate,时空的欠片,pm-shard-baseline,1087,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キョロキョロ,,candidate,时空的欠片,pm-shard-baseline,1088,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
キラキラ,,candidate,时空的欠片,pm-shard-baseline,1089,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ギブ,,candidate,时空的欠片,pm-shard-baseline,1090,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ギャグ,,candidate,时空的欠片,pm-shard-baseline,1091,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ギュ,,candidate,时空的欠片,pm-shard-baseline,1092,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ギレ,,candidate,时空的欠片,pm-shard-baseline,1093,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クセ,,candidate,时空的欠片,pm-shard-baseline,1094,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クソガキ,,candidate,时空的欠片,pm-shard-baseline,1095,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クラッ,,candidate,时空的欠片,pm-shard-baseline,1096,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クリア,,candidate,时空的欠片,pm-shard-baseline,1097,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クリーニングセンタ,,candidate,时空的欠片,pm-shard-baseline,1098,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クリーム,,candidate,时空的欠片,pm-shard-baseline,1099,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
クール,,candidate,时空的欠片,pm-shard-baseline,1100,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ググ,,candidate,时空的欠片,pm-shard-baseline,1101,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ググッ,,candidate,时空的欠片,pm-shard-baseline,1102,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
グルメ,,candidate,时空的欠片,pm-shard-baseline,1103,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
グルーピング,,candidate,时空的欠片,pm-shard-baseline,1104,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ケンカ,,candidate,时空的欠片,pm-shard-baseline,1105,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゲホゲホッッ,,candidate,时空的欠片,pm-shard-baseline,1106,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゲンナリ,,candidate,时空的欠片,pm-shard-baseline,1107,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゲージ,,candidate,时空的欠片,pm-shard-baseline,1108,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゲームオーバ,,candidate,时空的欠片,pm-shard-baseline,1109,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゲームセンタ,,candidate,时空的欠片,pm-shard-baseline,1110,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コケ,,candidate,时空的欠片,pm-shard-baseline,1111,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コト,,candidate,时空的欠片,pm-shard-baseline,1112,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コピーラグドール,,candidate,时空的欠片,pm-shard-baseline,1113,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コンタクト,,candidate,时空的欠片,pm-shard-baseline,1114,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コンテナ,,candidate,时空的欠片,pm-shard-baseline,1115,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コンビニ,,candidate,时空的欠片,pm-shard-baseline,1116,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コート,,candidate,时空的欠片,pm-shard-baseline,1117,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
コールナンバ,,candidate,时空的欠片,pm-shard-baseline,1118,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゴシゴシ,,candidate,时空的欠片,pm-shard-baseline,1119,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゴツ,,candidate,时空的欠片,pm-shard-baseline,1120,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゴール,,candidate,时空的欠片,pm-shard-baseline,1121,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サイコ,,candidate,时空的欠片,pm-shard-baseline,1122,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サイン,,candidate,时空的欠片,pm-shard-baseline,1123,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サブマリナ,,candidate,时空的欠片,pm-shard-baseline,1124,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サポート,,candidate,时空的欠片,pm-shard-baseline,1125,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サラサラ,,candidate,时空的欠片,pm-shard-baseline,1126,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サンセ,,candidate,时空的欠片,pm-shard-baseline,1127,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
サーイエッサ,,candidate,时空的欠片,pm-shard-baseline,1128,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ザバザバ,,candidate,时空的欠片,pm-shard-baseline,1129,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シミュレータールーム,,candidate,时空的欠片,pm-shard-baseline,1130,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シャカシャカ,,candidate,时空的欠片,pm-shard-baseline,1131,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シュール,,candidate,时空的欠片,pm-shard-baseline,1132,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シリアス,,candidate,时空的欠片,pm-shard-baseline,1133,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シロガネェェェェ,,candidate,时空的欠片,pm-shard-baseline,1134,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シンクロ,,candidate,时空的欠片,pm-shard-baseline,1135,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シングル,,candidate,时空的欠片,pm-shard-baseline,1136,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
シーズン,,candidate,时空的欠片,pm-shard-baseline,1137,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ジェントル,绅士,candidate,时空的欠片,pm-shard-baseline,1138,candidate,2,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
ジグザグ,,candidate,时空的欠片,pm-shard-baseline,1139,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ジジイ,,candidate,时空的欠片,pm-shard-baseline,1140,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ジャイアニズム,,candidate,时空的欠片,pm-shard-baseline,1141,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ジュール,,candidate,时空的欠片,pm-shard-baseline,1142,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スクール,,candidate,时空的欠片,pm-shard-baseline,1143,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スケジュール,,candidate,时空的欠片,pm-shard-baseline,1144,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スケープゴート,,candidate,时空的欠片,pm-shard-baseline,1145,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スコア,,candidate,时空的欠片,pm-shard-baseline,1146,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スコール,,candidate,时空的欠片,pm-shard-baseline,1147,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スシ,,candidate,时空的欠片,pm-shard-baseline,1148,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スタッフ,,candidate,时空的欠片,pm-shard-baseline,1149,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スタングレネード,,candidate,时空的欠片,pm-shard-baseline,1150,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ステージ,,candidate,时空的欠片,pm-shard-baseline,1151,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ストラトス,,candidate,时空的欠片,pm-shard-baseline,1152,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ストーップ,,candidate,时空的欠片,pm-shard-baseline,1153,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スピ,,candidate,时空的欠片,pm-shard-baseline,1154,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スピリタス,,candidate,时空的欠片,pm-shard-baseline,1155,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スペック,,candidate,时空的欠片,pm-shard-baseline,1156,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スマン,,candidate,时空的欠片,pm-shard-baseline,1157,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スリーパ,,candidate,时空的欠片,pm-shard-baseline,1158,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スレスレ,,candidate,时空的欠片,pm-shard-baseline,1159,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
スーパーコンピュータ,,candidate,时空的欠片,pm-shard-baseline,1160,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ズラリ,,candidate,时空的欠片,pm-shard-baseline,1161,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ズル,,candidate,时空的欠片,pm-shard-baseline,1162,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
セクスィボディ,,candidate,时空的欠片,pm-shard-baseline,1163,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
セプテントリオン,,candidate,时空的欠片,pm-shard-baseline,1164,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
センタ,,candidate,时空的欠片,pm-shard-baseline,1165,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ソリレベル,,candidate,时空的欠片,pm-shard-baseline,1166,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ソース,,candidate,时空的欠片,pm-shard-baseline,1167,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ゾッ,,candidate,时空的欠片,pm-shard-baseline,1168,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ターミナル,,candidate,时空的欠片,pm-shard-baseline,1169,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダイブ,,candidate,时空的欠片,pm-shard-baseline,1170,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダイヤ,,candidate,时空的欠片,pm-shard-baseline,1171,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダウン,,candidate,时空的欠片,pm-shard-baseline,1172,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダシ,,candidate,时空的欠片,pm-shard-baseline,1173,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダジャレ,,candidate,时空的欠片,pm-shard-baseline,1174,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダブル,,candidate,时空的欠片,pm-shard-baseline,1175,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダメッ,,candidate,时空的欠片,pm-shard-baseline,1176,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダラダラ,,candidate,时空的欠片,pm-shard-baseline,1177,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダークサイド,,candidate,时空的欠片,pm-shard-baseline,1178,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ダーメ,,candidate,时空的欠片,pm-shard-baseline,1179,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
チップ,,candidate,时空的欠片,pm-shard-baseline,1180,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
チヅコ,,candidate,时空的欠片,pm-shard-baseline,1181,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
チョコ,,candidate,时空的欠片,pm-shard-baseline,1182,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
チームリーダ,,candidate,时空的欠片,pm-shard-baseline,1183,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ツノ,,candidate,时空的欠片,pm-shard-baseline,1184,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ツルペタ,,candidate,时空的欠片,pm-shard-baseline,1185,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ツン,,candidate,时空的欠片,pm-shard-baseline,1186,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
テキト,,candidate,时空的欠片,pm-shard-baseline,1187,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
テリブル,,candidate,时空的欠片,pm-shard-baseline,1188,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
テレパシ,,candidate,时空的欠片,pm-shard-baseline,1189,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デカ,,candidate,时空的欠片,pm-shard-baseline,1190,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デタラメ,,candidate,时空的欠片,pm-shard-baseline,1191,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デデ,,candidate,时空的欠片,pm-shard-baseline,1192,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デリート,,candidate,时空的欠片,pm-shard-baseline,1193,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デレ,,candidate,时空的欠片,pm-shard-baseline,1194,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
デンカ,,candidate,时空的欠片,pm-shard-baseline,1195,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トゥ,,candidate,时空的欠片,pm-shard-baseline,1196,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トゥーポイントフォ,,candidate,时空的欠片,pm-shard-baseline,1197,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トウモロコシ,,candidate,时空的欠片,pm-shard-baseline,1198,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トコトン,,candidate,时空的欠片,pm-shard-baseline,1199,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トシ,,candidate,时空的欠片,pm-shard-baseline,1200,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トップ,,candidate,时空的欠片,pm-shard-baseline,1201,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トマトジュース,,candidate,时空的欠片,pm-shard-baseline,1202,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トラウマ,,candidate,时空的欠片,pm-shard-baseline,1203,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トラップゾーン,,candidate,时空的欠片,pm-shard-baseline,1204,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トランスフォーム,,candidate,时空的欠片,pm-shard-baseline,1205,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
トンボ,,candidate,时空的欠片,pm-shard-baseline,1206,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ドアッ,,candidate,时空的欠片,pm-shard-baseline,1207,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ドドーン,,candidate,时空的欠片,pm-shard-baseline,1208,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ナイス,,candidate,时空的欠片,pm-shard-baseline,1209,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ナイスタイミング,,candidate,时空的欠片,pm-shard-baseline,1210,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ナチュラルハイ,,candidate,时空的欠片,pm-shard-baseline,1211,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ナニ,,candidate,时空的欠片,pm-shard-baseline,1212,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ニワトリ,,candidate,时空的欠片,pm-shard-baseline,1213,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ニンジン,,candidate,时空的欠片,pm-shard-baseline,1214,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ネガティヴ,,candidate,时空的欠片,pm-shard-baseline,1215,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ネコ,,candidate,时空的欠片,pm-shard-baseline,1216,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ネットワーク,,candidate,时空的欠片,pm-shard-baseline,1217,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ネンネ,,candidate,时空的欠片,pm-shard-baseline,1218,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ノッカ,,candidate,时空的欠片,pm-shard-baseline,1219,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハイキング,,candidate,时空的欠片,pm-shard-baseline,1220,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハイテク,,candidate,时空的欠片,pm-shard-baseline,1221,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハイブロ,,candidate,时空的欠片,pm-shard-baseline,1222,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハイヴ,,candidate,时空的欠片,pm-shard-baseline,1223,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハンコ,,candidate,时空的欠片,pm-shard-baseline,1224,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハンタ,,candidate,时空的欠片,pm-shard-baseline,1225,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハンター,猎人,candidate,时空的欠片,pm-shard-baseline,1226,candidate,2,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
ハンバーグ,,candidate,时空的欠片,pm-shard-baseline,1227,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ハーフコート,,candidate,时空的欠片,pm-shard-baseline,1228,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バイキング,,candidate,时空的欠片,pm-shard-baseline,1229,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バカヤロウ,,candidate,时空的欠片,pm-shard-baseline,1230,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バタバタ,,candidate,时空的欠片,pm-shard-baseline,1231,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バッグ,,candidate,时空的欠片,pm-shard-baseline,1232,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バラ,,candidate,时空的欠片,pm-shard-baseline,1233,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バリエーション,,candidate,时空的欠片,pm-shard-baseline,1234,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
バーカバーカ,,candidate,时空的欠片,pm-shard-baseline,1235,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
パァ,,candidate,时空的欠片,pm-shard-baseline,1236,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
パウル,,candidate,时空的欠片,pm-shard-baseline,1237,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
パック,,candidate,时空的欠片,pm-shard-baseline,1238,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
パックジュース,,candidate,时空的欠片,pm-shard-baseline,1239,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ヒュ,,candidate,时空的欠片,pm-shard-baseline,1240,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ビデオカメラ,,candidate,时空的欠片,pm-shard-baseline,1241,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ビリ,,candidate,时空的欠片,pm-shard-baseline,1242,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ビンディング,,candidate,时空的欠片,pm-shard-baseline,1243,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ビーチゴルフ,,candidate,时空的欠片,pm-shard-baseline,1244,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ピュア,,candidate,时空的欠片,pm-shard-baseline,1245,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ピンク,,candidate,时空的欠片,pm-shard-baseline,1246,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ピンチ,,candidate,时空的欠片,pm-shard-baseline,1247,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
ファミリーレストラン,,candidate,时空的欠片,pm-shard-baseline,1248,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
フィット,,candidate,时空的欠片,pm-shard-baseline,1249,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
フェンス,,candidate,时空的欠片,pm-shard-baseline,1250,candidate,2,全文机械扫描候选；未据此自动固定中文；类别：片假名/拉丁字母扫描候选
