jp,cn,context
伊隅大尉・速瀬中尉,伊隅上尉、速濑中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；组合说话人标签按中文军衔体系统一，并保留两名角色顺序。；来源 pm-ar-table:35。仅作语境审校参考，不自动替换。
佐渡島,佐渡岛,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:194。仅作语境审校参考，不自动替换。 | 憧憬／再诞；沿用汉字地名并简体化。；来源 pm-ar-table:149。仅作语境审校参考，不自动替换。
佐渡島ハイヴ,佐渡岛巢穴,憧憬／再诞；Use 巢穴 for Hive in narration.；来源 pm-ar-table:288。仅作语境审校参考，不自动替换。
何とかゴーガン,什么神弓,时空的欠片；本篇审定（节目梗） | 第二遍行级证据（1条）；来源 pm-shard-table:344。仅作语境审校参考，不自动替换。
作業坑,作业坑道,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:345。仅作语境审校参考，不自动替换。
侍従長,侍从长,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:346。仅作语境审校参考，不自动替换。
停滞工作員,停滞特工,憧憬／再诞；指长期潜伏、等待启用的特工，固定为停滞特工。；来源 pm-ar-table:163。仅作语境审校参考，不自动替换。
兄・貴八郎 / 八兄・貴八郎,兄长贵八郎 / 八哥贵八郎,憧憬／再诞；同一人物姓名固定为“贵八郎”；原文只说兄时译“兄长贵八郎”，明确八兄时译“八哥贵八郎”，保留原文信息差异。；来源 pm-ar-table:27。仅作语境审校参考，不自动替换。
先生ズ,老师们,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:169。仅作语境审校参考，不自动替换。
入隊,入队,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:347。仅作语境审校参考，不自动替换。
全員,全员,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:54。仅作语境审校参考，不自动替换。
全校学生,全校学生,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:348。仅作语境审校参考，不自动替换。
八つ当たり,迁怒,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:195。仅作语境审校参考，不自动替换。
八兄・貴八郎,八哥贵八郎,憧憬／再诞；按中文兄弟排行自然译为“八哥”，不用日式汉文式“八兄”。；来源 pm-ar-table:28。仅作语境审校参考，不自动替换。
公共物,公共设施,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:349。仅作语境审校参考，不自动替换。
六兄・介六郎 / 次兄・孝次郎 / 五兄・丞五郎,六兄介六郎 / 二哥孝次郎 / 五哥丞五郎,憧憬／再诞；叙述性称号六兄保留家族排行色彩；次兄、五兄在中文独白中分别自然化为二哥、五哥，并固定姓名。；来源 pm-ar-table:29。仅作语境审校参考，不自动替换。
兵士,士兵,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:142。仅作语境审校参考，不自动替换。 | 憧憬／再诞；普通军人称谓固定。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:211。仅作语境审校参考，不自动替换。
内側のエッジ,内刃,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:350。仅作语境审校参考，不自动替换。
冥夜,冥夜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，汉字保留。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1665/1665；来源 pm-shard-table:3。仅作语境审校参考，不自动替换。
冥夜・悠陽,冥夜、悠阳,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：8/8；来源 pm-shard-table:98。仅作语境审校参考，不自动替换。
冥夜・月詠,冥夜、月咏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:351。仅作语境审校参考，不自动替换。
冥夜・美琴・武,冥夜、美琴、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:352。仅作语境审校参考，不自动替换。
凍傷,冻伤,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:353。仅作语境审校参考，不自动替换。
切れてます／キレてます,线条出来了／练出线条了,憧憬／再诞；用户结合健身场景审定：指肌肉线条清晰，按语境译为“线条出来了／练出线条了”。；来源 pm-ar-table:325。仅作语境审校参考，不自动替换。
初売り,新年初卖,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:354。仅作语境审校参考，不自动替换。
前衛砲兵,前卫炮兵,憧憬／再诞；原文刻意使用表面矛盾的军事称号，直译能保留其悖论感，后文也专门解释这一矛盾。；来源 pm-ar-table:154。仅作语境审校参考，不自动替换。
北極星島,北极星岛,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:109。仅作语境审校参考，不自动替换。
医者,医生,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:223。仅作语境审校参考，不自动替换。
千鶴,千鹤,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：831/831；来源 pm-shard-table:8。仅作语境审校参考，不自动替换。
千鶴・慧,千鹤、慧,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:355。仅作语境审校参考，不自动替换。
千鶴・武,千鹤、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:356。仅作语境审校参考，不自动替换。
千鶴・純夏,千鹤、纯夏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:357。仅作语境审校参考，不自动替换。
千鶴・茜,千鹤、茜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:196。仅作语境审校参考，不自动替换。
千鶴・茜・築地,千鹤、茜、筑地,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:358。仅作语境审校参考，不自动替换。
千鶴子,千鹤子,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：83/83；来源 pm-shard-table:45。仅作语境审校参考，不自动替换。
協力者,协助者,憧憬／再诞；保留与驻地特工不同的合作身份。；来源 pm-ar-table:164。仅作语境审校参考，不自动替换。
博士,博士,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；最终全文说话人标签：11/11；来源 pm-shard-table:124。仅作语境审校参考，不自动替换。 | 憧憬／再诞；研究者称谓保留。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:212。仅作语境审校参考，不自动替换。
即惨状,即刻惨烈登场,憧憬／再诞；用户审定：用“即刻惨烈登场”呈现对“即参上”的恶搞效果。；来源 pm-ar-table:328。仅作语境审校参考，不自动替换。
各リーダー,各队长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；无线电群体应答按队长处理。；来源 pm-ar-table:228。仅作语境审校参考，不自动替换。
吹雪,吹雪,憧憬／再诞；系列固有机体名，保留既有汉字写法。；来源 pm-ar-table:186。仅作语境审校参考，不自动替换。
告白,告白,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:224。仅作语境审校参考，不自动替换。
四回転半,四周半,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:266。仅作语境审校参考，不自动替换。
国連,联合国,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:359。仅作语境审校参考，不自动替换。
国連軍,联合国军,憧憬／再诞；组织名。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:3。仅作语境审校参考，不自动替换。
国際電話,国际长途电话,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:360。仅作语境审校参考，不自动替换。
地下停滞庫,地下休眠库,憧憬／再诞；结合 BETA 样本休眠功能，固定为“地下休眠库”。；来源 pm-ar-table:340。仅作语境审校参考，不自动替换。
地下集積場,地下集散场,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:361。仅作语境审校参考，不自动替换。
地球,地球,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:66。仅作语境审校参考，不自动替换。
坐禅 / 悟り / 煩悩,坐禅 / 开悟 / 烦恼,憧憬／再诞；采用中文已有佛教概念；悟り在对白中统一“开悟”，煩悩统一“烦恼”，坐禅保留通行专名。；来源 pm-ar-table:202。仅作语境审校参考，不自动替换。
基地,基地,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:135。仅作语境审校参考，不自动替换。
基地群総司令,基地群总司令,憧憬／再诞；Fits context.；来源 pm-ar-table:289。仅作语境审校参考，不自动替换。
基地群総司令 / 基地群総司令官,基地群总司令 / 基地群总司令官,憧憬／再诞；普通提及时用“基地群总司令”，原文明确総司令官殿时保留完整职名“基地群总司令官阁下”。；来源 pm-ar-table:115。仅作语境审校参考，不自动替换。
士官候補生,士官候补生,憧憬／再诞；军校/军官训练身份。；来源 pm-ar-table:295。仅作语境审校参考，不自动替换。
壬姫,壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，简体化。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：726/726；来源 pm-shard-table:13。仅作语境审校参考，不自动替换。
壬姫・武,壬姬、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；来源 pm-shard-table:170。仅作语境审校参考，不自动替换。
壬姫・純夏,壬姬、纯夏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:362。仅作语境审校参考，不自动替换。
壬姫・美琴,壬姬、美琴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：8/8；来源 pm-shard-table:125。仅作语境审校参考，不自动替换。
壬姫・霞,壬姬、霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:225。仅作语境审校参考，不自动替换。
声,声音,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：227/237；其他标签：声(10)；来源 pm-shard-table:24。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:9。仅作语境审校参考，不自动替换。
夕呼,夕呼,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1185/1185；来源 pm-shard-table:7。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:69。仅作语境审校参考，不自动替换。
夕呼・まりも,夕呼、麻理茉,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；来源 pm-shard-table:197。仅作语境审校参考，不自动替换。
夕呼・武,夕呼、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：47/47；来源 pm-shard-table:60。仅作语境审校参考，不自动替换。
夕呼先生,夕呼老师,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:35。仅作语境审校参考，不自动替换。
夕呼先生の因子,夕呼老师的因子,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:158。仅作语境审校参考，不自动替换。
多目的研究室,多功能研究室,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:363。仅作语境审校参考，不自动替换。
夜空に星が瞬く陰で,夜空繁星闪烁，暗处回荡着两人的笑声,憧憬／再诞；保留原名台词的诗意开头。；来源 pm-ar-table:329。仅作语境审校参考，不自动替换。
大いなる兵,巨兵,憧憬／再诞；后文明确指战术机，固定为巨兵。；来源 pm-ar-table:253。仅作语境审校参考，不自动替换。
大和,大和,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:198。仅作语境审校参考，不自动替换。
大和撫子 / ヤマトナデシコ,大和抚子,憧憬／再诞；中文读者已有较稳定认知，保留专名比泛化为“淑女”更能承接伊尔芙莉德特意询问日本说法的语境。；来源 pm-ar-table:178。仅作语境审校参考，不自动替换。
大将,大将,"时空的欠片；语境型；大将, kept as the survival-game role term.; Survival-game role term; avoid confusing with military rank unless context differs.；来源 pm-shard-table:76。仅作语境审校参考，不自动替换。"
大晦日,除夕,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:115。仅作语境审校参考，不自动替换。
大西洋方面第１軍,大西洋方面第1军,憧憬／再诞；部队番号。；来源 pm-ar-table:296。仅作语境审校参考，不自动替换。
太平洋,太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:364。仅作语境审校参考，不自动替换。
太陽フレア,太阳耀斑,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:365。仅作语境审校参考，不自动替换。
女,女生,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：2/6；其他标签：女子(2)／女人(2)；来源 pm-shard-table:21。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:10。仅作语境审校参考，不自动替换。
女たち,众女,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:136。仅作语境审校参考，不自动替换。
女の子,女孩,时空的欠片；说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：2/2；来源 pm-shard-table:74。仅作语境审校参考，不自动替换。
女官１,女官1,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；来源 pm-shard-table:150。仅作语境审校参考，不自动替换。
女官２,女官2,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；来源 pm-shard-table:171。仅作语境审校参考，不自动替换。
女官２・３,女官2、3,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:366。仅作语境审校参考，不自动替换。
女官３,女官3,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；来源 pm-shard-table:172。仅作语境审校参考，不自动替换。
女性,女性,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：96/96；来源 pm-shard-table:36。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:11。仅作语境审校参考，不自动替换。
女性の声,女声,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:309。仅作语境审校参考，不自动替换。
女性の声１,女声1,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:310。仅作语境审校参考，不自动替换。
女性の声２,女声2,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:311。仅作语境审校参考，不自动替换。
女性一同,女性众人,仅限完整【说话人】字段；不得用作正文子串替换
女性士官,女军官,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。 | 跨篇统一说话人标签为自然中文“女军官”。；来源 pm-ar-table:12。仅作语境审校参考，不自动替换。
女性士官１,女军官1,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:72。仅作语境审校参考，不自动替换。
女性士官２,女军官2,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:73。仅作语境审校参考，不自动替换。
女性１,女性1,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；最终全文说话人标签：20/20；来源 pm-shard-table:83。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:312。仅作语境审校参考，不自动替换。
女性２,女性2,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；最终全文说话人标签：15/15；来源 pm-shard-table:99。仅作语境审校参考，不自动替换。 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:313。仅作语境审校参考，不自动替换。
女１,女人1,时空的欠片；语境型；说话人名/称谓，需要固定。 | 最终全文说话人标签：17/28；其他标签：女1(11)；来源 pm-shard-table:70。仅作语境审校参考，不自动替换。
女２,女2,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；来源 pm-shard-table:173。仅作语境审校参考，不自动替换。
姉上,姐姐,时空的欠片；语境型；本篇权威称谓证据；并列语境可合译为“姐妹” | 第二遍行级证据（1条）；来源 pm-shard-table:46。仅作语境审校参考，不自动替换。
宗像,宗像,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：475/475；来源 pm-shard-table:16。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:75。仅作语境审校参考，不自动替换。
宗像中尉,宗像中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:76。仅作语境审校参考，不自动替换。
宗像美冴,宗像美冴,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:174。仅作语境审校参考，不自动替换。
実用化,投入实际应用,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:199。仅作语境审校参考，不自动替换。
実用化されている,已经得到实际应用,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:367。仅作语境审校参考，不自动替换。
寝技,地面技,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:267。仅作语境审校参考，不自动替换。
専用機,私人飞机,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:100。仅作语境审校参考，不自动替换。
小僧,小子,憧憬／再诞；固定为“小子”以保留粗豪调侃；不用年龄更幼的“小鬼”，也不机械保留日语称谓。；来源 pm-ar-table:214。仅作语境审校参考，不自动替换。
小隊,小队,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:71。仅作语境审校参考，不自动替换。
少佐 / 大尉 / 中尉 / 少尉,少校 / 上尉 / 中尉 / 少尉,憧憬／再诞；使用现代中文通行军衔，消除少佐、大尉等日式军衔残留；中尉、少尉本身与中文相同。；来源 pm-ar-table:117。仅作语境审校参考，不自动替换。
少尉,少尉,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:226。仅作语境审校参考，不自动替换。
少尉殿,少尉阁下,憧憬／再诞；此处殿刻意加强慌乱中的正式距离感，译为“阁下”；不作为所有少尉称呼的一般规则。；来源 pm-ar-table:118。仅作语境审校参考，不自动替换。
巴,巴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：47/47；来源 pm-shard-table:40。仅作语境审校参考，不自动替换。
巴・戎,巴、戎,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:57。仅作语境审校参考，不自动替换。
市場調査,市场调查,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:368。仅作语境审校参考，不自动替换。
市民,市民,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:369。仅作语境审校参考，不自动替换。
帝国斯衛軍,帝国斯卫军,憧憬／再诞；军队名，简体化并保持系列一致。；来源 pm-ar-table:297。仅作语境审校参考，不自动替换。
帝都の怪人,帝都怪人,憧憬／再诞；保留外号的简洁识别度。；来源 pm-ar-table:153。仅作语境审校参考，不自动替换。
常在戦場の心得 / サムライ,常怀身在战场的精神 / Samurai,憧憬／再诞；常在戦場不硬套日文四字句壳，按中文释为“常怀身在战场”；外人口中的片假名サムライ保留为 Samurai，维持文化标签视角。；来源 pm-ar-table:193。仅作语境审校参考，不自动替换。
平君,平同学,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:268。仅作语境审校参考，不自动替换。
度胸,胆量,时空的欠片；语境型；第二遍行级证据（2条）；来源 pm-shard-table:67。仅作语境审校参考，不自动替换。
張圧出力,张力输出,憧憬／再诞；按改装后的张力性能语境，固定为“张力输出”。；来源 pm-ar-table:280。仅作语境审校参考，不自动替换。
彩峰慧,彩峰慧,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:370。仅作语境审校参考，不自动替换。
後藤機関,后藤机关,憧憬／再诞；日语秘密机关语境采用“机关”，不误作一般机构。；来源 pm-ar-table:216。仅作语境审校参考，不自动替换。
御剣,御剑,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:32。仅作语境审校参考，不自动替换。
御剣さん,御剑同学,时空的欠片；语境型；本篇权威称谓证据；复数或第三人称按语境处理；来源 pm-shard-table:61。仅作语境审校参考，不自动替换。
御剣冥夜,御剑冥夜,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:227。仅作语境审校参考，不自动替换。
御剣悠陽,御剑悠阳,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:175。仅作语境审校参考，不自动替换。
御剣財閥,御剑财阀,时空的欠片；语境型；御剑财阀.; Mitsurugi family conglomerate. | 第二遍行级证据（2条）；来源 pm-shard-table:62。仅作语境审校参考，不自动替换。
御剣達,御剑她们,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:200。仅作语境审校参考，不自动替换。
応急処置,急救,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:176。仅作语境审校参考，不自动替换。
怨霊子光線,怨灵子光线,憧憬／再诞；逐成分保留自造武器名的中二感，中文可直接理解。；来源 pm-ar-table:123。仅作语境审校参考，不自动替换。
恋愛原子核,恋爱原子核,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:116。仅作语境审校参考，不自动替换。
恒星間播種,恒星间播种,憧憬／再诞；准确保留跨恒星播种概念。；来源 pm-ar-table:233。仅作语境审校参考，不自动替换。
悠陽,悠阳,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（3条） | 最终全文说话人标签：1616/1616；来源 pm-shard-table:4。仅作语境审校参考，不自动替换。
悠陽・冥夜,悠阳、冥夜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：19/19；来源 pm-shard-table:84。仅作语境审校参考，不自动替换。
情報の符号化,信息编码,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:371。仅作语境审校参考，不自动替换。
情報符号化,信息编码,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:372。仅作语境审校参考，不自动替换。
感情を隔離する秘伝の極意,封闭感情的秘传奥义,憧憬／再诞；保留招式般的命名和中二效果，同时用“封闭感情”避免日式“隔离感情”。；来源 pm-ar-table:124。仅作语境审校参考，不自动替换。
感情移入,沉浸感,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:269。仅作语境审校参考，不自动替换。
慧,慧,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：857/857；来源 pm-shard-table:12。仅作语境审校参考，不自动替换。
慧・柏木,慧、柏木,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:373。仅作语境审校参考，不自动替换。
戎,戎,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：49/49；来源 pm-shard-table:42。仅作语境审校参考，不自动替换。
戦々恐々,战战兢兢,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:374。仅作语境审校参考，不自动替换。
戦乙女中隊,女武神中队,憧憬／再诞；战乙女按系列语境固定为女武神；与别称 Valkyries 区分记录。；来源 pm-ar-table:259。仅作语境审校参考，不自动替换。
戦略的転進,战略转进,憧憬／再诞；保留军事委婉语“战略转进”的自我美化意味，不泛化成普通转身或改变计划。；来源 pm-ar-table:108。仅作语境审校参考，不自动替换。
戦術機,战术机,憧憬／再诞；系列核心机体术语。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:4。仅作语境审校参考，不自动替换。
戦術機甲大隊,战术机甲大队,憧憬／再诞；部队类型。；来源 pm-ar-table:298。仅作语境审校参考，不自动替换。
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
打ち身,挫伤,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:375。仅作语境审校参考，不自动替换。
技師,技师,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；最终全文说话人标签：4/4；来源 pm-shard-table:201。仅作语境审校参考，不自动替换。
抑揚なし,语调毫无起伏,憧憬／再诞；这是可见的演出说明，译为玩家易懂的“语调毫无起伏”，不用日式专业词“无抑扬”。；来源 pm-ar-table:197。仅作语境审校参考，不自动替换。
